楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
碧桂园御湖城,[ 从化 江埔街 ] 灌村路399号,从化,3室/4室/别墅,建筑面积：89-660㎡,16500
嘉东广场,[ 从化 街口 ] 从城大道459号,从化,商业,建筑面积：82.29-121.01㎡,12000
莱茵水岸,[ 从化 街口 ] 从城大道33号,从化,3室/4室,建筑面积：112.75-191㎡,18500
御泉湾,[ 从化 温泉镇 ] 冲口路91号,从化,3室/4室,建筑面积：127-163㎡,11000
方圆泉溪月岛,[ 从化 温泉镇 ] 流溪河半岛（距广东温泉宾馆约3分钟车...,从化,商业,建筑面积：150-205㎡,13000
雍晟岭南雅苑,[ 从化 江埔街 ] 大江路13号,从化,3室/4室,建筑面积：88-110㎡,18000
广东动漫城,[ 从化 街口 ] 广从北路北侧,从化,商业,建筑面积：50-121㎡,4500
华标荔苑,[ 从化 太平镇 ] 105国道旁（华软学院对面）,从化,1室/2室/3室,建筑面积：43-133㎡,8400
新时代家园,[ 从化 街口 ] 新城中路86号,从化,3室,建筑面积：92.86-108㎡,
云星钱隆公馆,[ 从化 街口 ] 街口街城郊村地段S355线旁,从化,3室/4室,建筑面积：88-105㎡,20000
智汇国际,[ 从化 太平镇 ] 工业大道1号,从化,商业,建筑面积：53-94㎡,11000
方圆明月山溪,[ 从化 温泉镇 ] 明月山溪大道,从化,1室/2室/3室/4室/别墅,建筑面积：37.75-649㎡,
上城湾畔,[ 从化 街口 ] 流溪河畔市六中东侧,从化,3室/4室,建筑面积：95-170㎡,
柏仑雍禾苑,[ 从化 街口 ] 城峰路公安局大楼侧,从化,2室/3室/5室/6室/别墅,建筑面积：82-371㎡,
蜜糖苑,[ 从化 城郊街 ] 旺城大道28号,从化,2室/3室,建筑面积：97-99㎡,
宏诚海岸,[ 从化 街口 ] 河滨北路388号,从化,3室,建筑面积：44.4-175.01㎡,
宏业楼,[ 从化 城郊街 ] 盛华路4号,从化,3室,建筑面积：93-131㎡,
欣荣宏国际商贸城写字楼,[ 从化 江埔街 ] 从城大道111-113号（355省道与从化大道...,从化,,建筑面积：200000㎡,40000
宏润翰林苑,[ 从化 鳌头镇 ] 京珠高速鳌头出口，旗杆圩S355省道两旁,从化,,建筑面积：120000㎡,
雅居乐小院流溪,[ 从化 太平镇 ] 105国道沙贝村地段（逸泉山庄北面）,从化,3室/4室,建筑面积：108-148㎡,
珠光流溪御景,[ 从化 街口 ] 588乡道,从化,别墅,建筑面积：260-364㎡,
新光百德广场,[ 从化 太平镇 ] 太平开发区福从路与105国道交界新光百...,从化,商业,建筑面积：45-76㎡,7000
利泰花林湖畔,[ 从化 鳌头镇 ] 明珠工业园内,从化,3室,建筑面积：97-107.07㎡,
宏润巴塞阳光,[ 从化 街口 ] 向阳路22号（市规划局旁）,从化,3室/4室,建筑面积：88-118㎡,
欣荣宏国际商贸城,[ 从化 江埔街 ] 从城大道111-113号(355省道与从化大道...,从化,2室/3室,建筑面积：93-132㎡,
逸景雅轩,[ 从化 城郊街 ] 向阳南路7号,从化,3室/4室,建筑面积：124-176㎡,
侨宏花园,[ 从化 温泉镇 ] 温泉镇温泉西路22号,从化,1室/2室,建筑面积：70-80㎡,
德怡花苑,[ 从化 城郊街 ] 旺城开发区南区,从化,2室,建筑面积：73㎡,
丰景阁,[ 从化 江埔街 ] 红荔一路9号,从化,3室,建筑面积：95㎡,
城市印象花园,[ 从化 城郊街 ] 城郊向阳大道,从化,,建筑面积：31028㎡,
智富华轩,[ 从化 城郊街 ] 向阳大道,从化,3室,建筑面积：89.74-111㎡,
夏日南湾,[ 从化 江埔街 ] 沿江南路以东，雅居乐滨江花园以西，以...,从化,,建筑面积：8793㎡,
从化怡景楼,[ 从化 街口 ] 从化经济开发区回归路14号,从化,,建筑面积：13105㎡,
爱尚流溪,[ 从化 江埔街 ] 环市东路988号,从化,3室,建筑面积：86-128㎡,8000
大城云山,[ 从化 太平镇 ] 广从南路1033号,从化,1室/2室/3室/5室,建筑面积：43-190㎡,
青春,[ 从化 江埔街 ] 环市东路223号（凯旋假日酒店对面）,从化,2室/3室,建筑面积：84-131.3㎡,
翡翠城,[ 从化 鳌头镇 ] 新市场侧,从化,2室/3室/4室,建筑面积：83-120㎡,5000
奶茶咖啡,[ 从化 江埔街 ] 河东沿江南路66号,从化,2室/3室,建筑面积：71-132㎡,9300
小城大院,[ 从化 城郊街 ] 塘圈路60号,从化,2室/3室,建筑面积：80-101㎡,
叠翠轩,[ 从化 太平镇 ] 花园路十一巷1号,从化,1室/2室/3室/4室,建筑面积：73.57-130.92㎡,
上雅君庭,[ 从化 太平镇 ] 经济开发区高技术产业园工业大道5号,从化,1室/2室/3室,建筑面积：56-89㎡,6800
越秀逸泉映翠,[ 从化 江埔街 ] 迎宾大道以北，105国道旁（南洋理工大...,从化,2室/3室,建筑面积：84.98-98.67㎡,
逸泉山庄,[ 从化 街口 ] 神岗流溪河畔,从化,2室/5室/7室,建筑面积：110-333㎡,
居礼润园,[ 从化 温泉镇 ] 温泉东路58号,从化,2室/3室/别墅,建筑面积：112-400㎡,
兴业海逸半岛花园,[ 从化 江埔街 ] 环市东路,从化,2室/3室/4室,建筑面积：121-286.65㎡,
华熙温泉度假村,[ 从化 温泉镇 ] 米埗,从化,,建筑面积：120000㎡,
星汇峰,[ 从化 太平镇 ] 经济开发区明珠路8号,从化,,建筑面积：18987㎡,
紫泉翠荔嘉园,[ 从化 太平镇 ] 从化太平镇105国道旁,从化,,建筑面积：71000㎡,
骏逸湖畔花苑,[ 从化 太平镇 ] 平中公路633号,从化,,建筑面积：62933㎡,
凯粤湾,[ 荔湾 芳村 ] 白鹅潭•地铁5&6号线交汇•珠江大桥逸...,荔湾,2室/3室/4室,建筑面积：80-138㎡,43800
天珺,[ 荔湾 中山八路 ] 南岸路（金众西关海旁）,荔湾,,,
保利碧桂园公园大道,[ 荔湾 芳村 ] 广钢新城鹤洞路157号（广钢公园南侧）,荔湾,2室/3室/4室,建筑面积：85-142㎡,51000
中海学仕里,[ 荔湾 芳村 ] 荔湾芳村广钢新城中海花湾壹号营销中心,荔湾,1室/2室,建筑面积：58-89㎡,56000
保利东郡,[ 荔湾 芳村 ] 开拓路与求实一横路交界处,荔湾,2室/3室,建筑面积：70-108㎡,52000
逸合中心,[ 荔湾 芳村 ] 浣花路（荔湾儿童公园西侧）,荔湾,商业,建筑面积：47-60㎡,37000
凯德双桥8号,[ 荔湾 大坦沙 ] 裕福街35号5/6号线坦尾站旁,荔湾,2室/3室/4室,建筑面积：84-142㎡,50000
碧桂园朝花,[ 荔湾 芳村 ] 花地大道中（西塱地铁站D出口）,荔湾,商业,建筑面积：32-52㎡,38000
保利花海湾,[ 荔湾 芳村 ] 百花路111号（近花地湾地铁站）,荔湾,3室,建筑面积：88-125㎡,40000
华发荔湾荟商用,[ 荔湾 芳村 ] 芳村大道西兴东路,荔湾,商业,建筑面积：41-63㎡,35000
万科金域曦府,[ 荔湾 芳村 ] 地铁1号线花地湾站旁,荔湾,,,
西关海·云墅198,[ 荔湾 中山八路 ] 南岸路23号,荔湾,2室/4室/5室,建筑面积：87-310㎡,73000
岭南V谷,[ 荔湾 芳村 ] 荔湾花地大道南657号,荔湾,,建筑面积：815-1752㎡,25000
葛洲坝广州紫郡府,[ 荔湾 芳村 ] 鹤洞路151号,荔湾,3室/4室,建筑面积：103-143㎡,48000
金融街融穗华府,[ 荔湾 芳村 ] 银沙路,荔湾,2室/3室,建筑面积：71-92㎡,50000
保利和光晨樾,[ 荔湾 芳村 ] 开拓路,荔湾,3室/4室,建筑面积：102-142㎡,47000
悦江上品,[ 荔湾 大坦沙 ] 悦品二街2、3、4号,荔湾,2室/3室/4室/5室/6室,建筑面积：80-210㎡,43000
保利西悦湾,[ 荔湾 芳村 ] 东漖南路,荔湾,2室/3室/4室,建筑面积：79-139㎡,45000
珠光御景壹号,[ 荔湾 其他 ] 黄沙大道15-17号,荔湾,4室/5室,建筑面积：208-480㎡,110000
碧桂园龙津世家,[ 荔湾 陈家祠 ] 龙津中路459-471号,荔湾,2室/3室,建筑面积：52.18-131㎡,56000
中海花湾壹号,[ 荔湾 芳村 ] 荔湾芳村广钢新城鹤洞路220号,荔湾,2室/3室/4室,建筑面积：73-136㎡,53000
华发中央公园,[ 荔湾 芳村 ] 芳村鹤洞路以南,荔湾,4室/别墅,建筑面积：167-284㎡,54000
振业天颂花园,[ 荔湾 芳村 ] 广州市荔湾区广钢新城开拓路,荔湾,1室/2室/3室/4室/5室,建筑面积：37-179㎡,42000
荔湾新城欣悦湾,[ 荔湾 芳村 ] 茶滘路22号,荔湾,2室/3室,建筑面积：68-123㎡,40000
珠江金茂府,[ 荔湾 芳村 ] 鹤洞路157号,荔湾,3室/4室/5室/6室,建筑面积：109-629㎡,53000
珠江鹅潭湾,[ 荔湾 芳村 ] 滘口大街,荔湾,4室/5室/6室,建筑面积：170-371㎡,53000
远东御江豪庭,[ 荔湾 芳村 ] 百花路58号,荔湾,2室/3室,建筑面积：85-127㎡,40000
北大资源博雅1898,[ 荔湾 芳村 ] 鹤洞路,荔湾,3室/4室,建筑面积：82-138㎡,48000
粤泰荔湾华府,[ 荔湾 中山八路 ] 南岸路43号,荔湾,1室/2室/3室,建筑面积：37.57-152㎡,
中海花湾壹号商用,[ 荔湾 芳村 ] 鹤洞路220号,荔湾,商业,建筑面积：38-71㎡,35000
广州国际医药港·方舟公馆,[ 荔湾 芳村 ] 东沙大道16号,荔湾,商业,建筑面积：55-57㎡,
富力广场,[ 荔湾 陈家祠 ] 龙津西路313号,荔湾,,建筑面积：29.28-2030.51㎡,15674
保利和光晨樾米墅,[ 荔湾 芳村 ] 开拓路,荔湾,商业,建筑面积：42㎡,27000
保利堂悦,[ 荔湾 芳村 ] 广钢新城·南区,荔湾,,建筑面积：137688㎡,
广州国际医药港,[ 荔湾 芳村 ] 东沙大道16号,荔湾,,建筑面积：1500000㎡,
富凯星堤,[ 荔湾 芳村 ] 东沙荷景路1号,荔湾,商业,建筑面积：46-101㎡,27000
保利葛洲坝海德公馆,[ 荔湾 芳村 ] 鹤洞路,荔湾,3室/4室,建筑面积：95-170㎡,60000
流花君庭,[ 荔湾 环市西 ] 流花路73号,荔湾,4室/5室/6室,建筑面积：250-397㎡,68000
广船一期地块,[ 荔湾 芳村 ] 芳村大道南,荔湾,,建筑面积：123700㎡,
西朗大道项目,[ 荔湾 芳村 ] 西朗大道,荔湾,,,
元邦明月水岸,[ 荔湾 芳村 ] 花地大道南（地铁一号线西朗站往花地河...,荔湾,3室/4室,建筑面积：104-157㎡,34000
中国铁建荔湾国际城,[ 荔湾 芳村 ] 龙溪中路,荔湾,2室/3室/4室,建筑面积：82-143㎡,
葛洲坝保利曼城,[ 荔湾 芳村 ] 鹤洞路以南,荔湾,3室,建筑面积：83-111㎡,45000
保利公园九里,[ 荔湾 芳村 ] 龙溪中路(葵蓬生态公园旁边),荔湾,2室/3室/4室/5室,建筑面积：78-192.94㎡,17000
龙津华府,[ 荔湾 陈家祠 ] 龙津西路338号（地铁陈家祠A出口300米...,荔湾,2室/3室,建筑面积：95.9-128.7㎡,
富力唐宁公馆,[ 荔湾 环市西 ] 西湾路中段,荔湾,3室/4室,建筑面积：137-211㎡,
保利塞纳维拉,[ 荔湾 芳村 ] 龙溪中路北侧（原至尊高尔夫球场）,荔湾,2室/3室/4室,建筑面积：77.28-132.74㎡,
康侨荔都,[ 荔湾 陈家祠 ] 康王南路15、17、19号,荔湾,2室/3室,建筑面积：74.08-102.58㎡,
兴隆广场,[ 荔湾 陈家祠 ] 康王北路与中山七路交界,荔湾,,建筑面积：72000㎡,
领地海纳天河花园,[ 荔湾 芳村 ] 佛山南海与芳村接壤区域南海大沥镇盐步...,荔湾,1室/2室,建筑面积：42.54-83㎡,
荔湾区芳村,[ 荔湾 芳村 ] 芳村大道南以西、鹤洞路以南,荔湾,,,
芳信轩,[ 荔湾 芳村 ] 芳村大道西芳信路（岭南花卉市场东门）,荔湾,,建筑面积：20584㎡,
花语水岸,[ 荔湾 大坦沙 ] 坦尾西海南路,荔湾,2室/3室/4室/5室,建筑面积：76.2-205㎡,28000
路劲隽泷湾,[ 荔湾 芳村 ] 原广州至尊高尔夫场地,荔湾,,建筑面积：140000㎡,26000
丽和华庭,[ 荔湾 芳村 ] 东漖北路74号,荔湾,2室/3室,建筑面积：77.98-110.02㎡,38500
翠竹苑,[ 荔湾 芳村 ] 芳村花地大道翠竹苑,荔湾,2室/3室,建筑面积：96-167㎡,40000
逸翠湾,[ 荔湾 芳村 ] 黄沙大道8号(黄沙地铁站D出口),荔湾,4室/5室,建筑面积：207.98-228.42㎡,
岭南湾畔,[ 荔湾 环市西 ] 西湾路东西两侧(水泥厂地块),荔湾,3室,建筑面积：91-101㎡,
元邦明月星辉,[ 荔湾 陈家祠 ] 文昌北路242-272号,荔湾,4室,建筑面积：156.04-182.74㎡,
贵贤上品,[ 荔湾 陈家祠 ] 荔湾区华贵路57号,荔湾,2室/3室/4室,建筑面积：89-152㎡,
宏新华庭,[ 荔湾 陈家祠 ] 光复北路康公直街12-38号,荔湾,3室,建筑面积：111.71-136.6㎡,
荔庭雅居,[ 荔湾 中山八路 ] 西华路30-38号,荔湾,3室,建筑面积：115.6-124㎡,
荔景华庭,[ 荔湾 中山八路 ] 十八甫北路1号,荔湾,2室,建筑面积：55-55㎡,
财富公馆,[ 荔湾 环市西 ] 西湾路149号,荔湾,1室,建筑面积：50-85㎡,
城西悦家,[ 荔湾 陈家祠 ] 西华路白马涌边西华苑,荔湾,2室/3室,建筑面积：80.42-97.47㎡,
力迅上下九西门町,[ 荔湾 陈家祠 ] 下九路,荔湾,,建筑面积：4941㎡,100
远大芳华都汇,[ 荔湾 芳村 ] 花地大道南66号（西塱地铁B出口往花地...,荔湾,商业,建筑面积：52-114㎡,25000
邦华星际广场,[ 荔湾 芳村 ] 龙溪中路96号,荔湾,商业,建筑面积：35-84㎡,
金湾明珠,[ 荔湾 大坦沙 ] 大坦沙岛广安路2、4、6、8、10号,荔湾,2室/3室/4室,建筑面积：72-143㎡,
君荟名轩,[ 荔湾 环市西 ] 环市西路47号,荔湾,1室/2室/3室,建筑面积：59-150㎡,38000
汾水花园,[ 荔湾 芳村 ] 茶滘路105号汾水花园第1栋（茶滘派出所...,荔湾,2室/3室,建筑面积：69-106㎡,23000
粤海宝华轩,[ 荔湾 陈家祠 ] 文昌南路旧宝华23号,荔湾,2室/3室,建筑面积：76.68-122.61㎡,
翠荷轩,[ 荔湾 芳村 ] 东漖南路#90-#114双号,荔湾,2室/3室,建筑面积：75-110㎡,30000
富力君湖华庭,[ 荔湾 环市西 ] 流花路君湖一街1－4号、君湖二街1号（...,荔湾,3室/4室/5室,建筑面积：120-275㎡,
荔江美筑,[ 荔湾 芳村 ] 芳村大道西大鹏街52号-64号（双）（荔...,荔湾,2室/3室,建筑面积：85-112㎡,
美荔尚筑,[ 荔湾 陈家祠 ] 康王中路668号-680号（地铁1号线陈家祠...,荔湾,2室/3室,建筑面积：78.62-163.1㎡,
万科柏悦湾,[ 荔湾 中山八路 ] 荔湾松洲街坦尾村地段（桥中南路海角红...,荔湾,3室,建筑面积：92-98㎡,
西湾阳光,[ 荔湾 环市西 ] 长乐后街55—56号,荔湾,2室/3室,建筑面积：85-139㎡,
龙湾贰号,[ 荔湾 芳村 ] 龙湾路2号(地铁一号线芳村站C出口),荔湾,3室,建筑面积：88.7-100.8㎡,
皇城国际金银珠宝玉器城,[ 荔湾 陈家祠 ] 荔湾文昌南路,荔湾,,建筑面积：15000㎡,30000
粤海拾桂府,[ 越秀 北京路 ] 珠光路43-55号,越秀,3室/4室,建筑面积：116-165㎡,90000
世茂天越,[ 越秀 五羊新城 ] 五羊邨地铁站A出口（往南前行100米）,越秀,3室/4室,建筑面积：130-213㎡,120000
实地•紫薇公馆,[ 越秀 东山 ] 东山口新河浦江岭下,越秀,1室,建筑面积：60㎡,99500
四季奕居,[ 越秀 五羊新城 ] 水荫路70号,越秀,4室,建筑面积：166-207㎡,90000
淘金半山豪庭,[ 越秀 淘金 ] 淘金路友谊商店北侧,越秀,2室/3室/4室,建筑面积：85-145㎡,100000
粤泰荣廷府,[ 越秀 北京路 ] 东华西路52-56号,越秀,3室/4室,建筑面积：97-169㎡,
嘉兰轩,[ 越秀 东山 ] 大新路388号,越秀,2室/3室,建筑面积：79.43-125.23㎡,53000
江畔雅苑,[ 越秀 北京路 ] 北京路,越秀,1室/2室/3室,建筑面积：36-145㎡,68000
方圆流花月岛,[ 越秀 东风东 ] 流花路,越秀,1室/2室/3室/4室,建筑面积：50-176㎡,75000
淘金家园c组团,[ 越秀 淘金 ] 淘金东横路15号,越秀,1室/2室/3室/4室,建筑面积：51-170㎡,88000
麓湖轩,[ 越秀 东风东 ] 麓湖路9号,越秀,2室/3室/4室,建筑面积：78.59-124.61㎡,70000
越秀芳华轩,[ 越秀 北京路 ] 海珠中路180号,越秀,1室/2室,建筑面积：54-85㎡,
东山海德公馆,[ 越秀 东风东 ] 先烈中路云鹤北街8号,越秀,商业,建筑面积：38-96㎡,35000
恒基中心,[ 越秀 北京路 ] 海珠广场侨光西路,越秀,,建筑面积：228550㎡,
景豪方大厦,[ 越秀 北京路 ] 大马站4、6、8号,越秀,,建筑面积：19084㎡,
东山一品,[ 越秀 东山 ] 水荫路,越秀,3室,建筑面积：109.85-126㎡,100000
越秀天安大厦,[ 越秀 北京路 ] 解放北路960号,越秀,,,
汇华商贸大厦,[ 越秀 淘金 ] 先烈中路80号,越秀,,建筑面积：63886㎡,
文德先生,[ 越秀 北京路 ] 文德南路82号,越秀,2室/3室/4室,建筑面积：76-188㎡,
富力新天地中心,[ 越秀 东山 ] 广州大道与中山一路交汇,越秀,,建筑面积：170-650㎡,48000
翰林尚品,[ 越秀 东风东 ] 东风东路737号,越秀,1室,建筑面积：44-54.5㎡,75000
方圆越秀时光,[ 越秀 北京路 ] 东沙角路16-34号（地铁6号线团一大广场...,越秀,商业,建筑面积：41-80㎡,
爱群荟景湾,[ 越秀 东山 ] 沿江西路143号,越秀,4室/5室,建筑面积：333.96-364.4㎡,
东风广场,[ 越秀 东风东 ] 东风东路787号,越秀,1室/2室/3室,建筑面积：43.3-154.14㎡,70000
阳光城江湾壹号,[ 越秀 北京路 ] 沿江中路,越秀,商业,建筑面积：49-90㎡,60000
广州云山国际,[ 越秀 东风东 ] 先烈中路云鹤北街8号,越秀,商业,建筑面积：38-39㎡,25000
东山月府,[ 越秀 东山 ] 新寺右新马路108号（华润万家旁）,越秀,3室/4室,建筑面积：100-166㎡,807
新城市学府,[ 越秀 淘金 ] 洪桥街25号,越秀,1室,建筑面积：37-61㎡,280
骏文雅苑,[ 越秀 北京路 ] 文明路119、121、123号,越秀,2室/3室/4室,建筑面积：87-162㎡,53000
江尚东山,[ 越秀 东山 ] 东湖路与大沙头路交叉口,越秀,3室/5室,建筑面积：124-236㎡,46000
锦绣联合商务大厦,[ 越秀 淘金 ] 天河路1号、3号、5号,越秀,1室,建筑面积：58-75.79㎡,
东山京士柏,[ 越秀 东山 ] 东华东路558-598、1006-1044号,越秀,4室,建筑面积：173.44-185.51㎡,
倾城五星皇冠,[ 越秀 东风东 ] 盘福路79号,越秀,1室,建筑面积：58.86-60.28㎡,
广州民间金融大厦,[ 越秀 北京路 ] 长堤大马路316号,越秀,1室,建筑面积：44-54.8㎡,
富力东山新天地,[ 越秀 其他 ] 广州大道中与中山一路交汇处,越秀,,建筑面积：176㎡,35000
东山上品,[ 越秀 东山 ] 东兴北路102号,越秀,4室,建筑面积：165-167㎡,
捷登都会,[ 越秀 北京路 ] 吉祥路与中山五路交界处,越秀,商业,建筑面积：55-84㎡,
旭城实业东华西路项目,[ 越秀 东山 ] 东华西路以南、东濠涌永胜西以东,越秀,商业,建筑面积：89㎡,
金润铂宫,[ 越秀 北京路 ] 越秀区北京路步行街238号,越秀,1室/2室/3室,建筑面积：60.93-103.08㎡,
正佳东方国际广场,[ 越秀 淘金 ] 越秀区环市东路与淘金路交汇处花园酒店...,越秀,2室,建筑面积：60.53-136.41㎡,
明月东山,[ 越秀 东山 ] 明月一路2街2-8号,越秀,3室/4室,建筑面积：117-131㎡,
精彩生活大厦,[ 越秀 北京路 ] 文明路36-48号,越秀,2室/3室,建筑面积：70-130㎡,
中环广场,[ 越秀 东山 ] 中马路2、4号（环市东路和建设大马路交...,越秀,3室,建筑面积：149-165㎡,
中庸金寓,[ 越秀 北京路 ] 越秀长提大马路99号,越秀,,建筑面积：60㎡,38000
东山印象台,[ 越秀 北京路 ] 中山四路与仓边路交界处,越秀,,建筑面积：77000㎡,
景豪坊,[ 越秀 北京路 ] 北京路西边,越秀,,建筑面积：170000㎡,
东湖铭泰公馆,[ 越秀 淘金 ] 东湖西路4-5号,越秀,,建筑面积：5307㎡,
御东雅苑,[ 越秀 东风东 ] 东风西路238-248号（中山纪念堂的斜对...,越秀,2室/3室/4室,建筑面积：41-192㎡,43000
东方文德广场,[ 越秀 北京路 ] 文德北路66号,越秀,,建筑面积：123000㎡,
竹雅苑,[ 越秀 北京路 ] 越秀北站南路17号,越秀,3室/4室,建筑面积：88-120㎡,
海景农林华府,[ 越秀 东风东 ] 犀牛路农本新村，毗邻广州市传统商业中...,越秀,3室/4室/5室,建筑面积：132-224㎡,58000
三季SOHO,[ 越秀 淘金 ] 建设四马路17-29号,越秀,商业,建筑面积：24㎡,
御江苑,[ 越秀 北京路 ] 南堤二马路36-40号,越秀,1室/2室/4室,建筑面积：42-176.06㎡,40000
海印东山100,[ 越秀 东山 ] 东华南路和大沙头二马路交接处,越秀,2室/3室,建筑面积：61.18-125.9㎡,
颐和雅轩,[ 越秀 淘金 ] 应元路洪桂新街1、3、5号（明达大厦南...,越秀,1室/3室,建筑面积：58.28-147.92㎡,
麓湖御景,[ 越秀 淘金 ] 越秀区麓苑路39号,越秀,2室/3室/4室,建筑面积：87.04-147.2㎡,
锦源国际公寓,[ 越秀 北京路 ] 北京路147、149号,越秀,1室/2室/4室,建筑面积：43.12-210㎡,
御龙国际商寓,[ 越秀 淘金 ] 广园西路235号（广园西路立交桥西侧）,越秀,1室,建筑面积：36.73-37.5㎡,
万艺国际精品广场（万艺广场）,[ 越秀 北京路 ] 海珠广场侨光路,越秀,,建筑面积：51469㎡,
府前铭泰,[ 越秀 北京路 ] 中山五路217－255号,越秀,,建筑面积：127000㎡,
新城市尚秀,[ 越秀 东风东 ] 越秀登峰北七星岗,越秀,,建筑面积：7266㎡,
